date,amount_raw,amount,currency,operation,merchant,details,bank,source_file
2024-11-13,"- 2 000,00 KZT",-2000.0,KZT,Transfers,,Алия А.,Kaspi Bank,kaspi_ru.pdf
2024-11-13,"- 10 500,00 KZT",-10500.0,KZT,Transfers,,Оплата Kaspi Кредита,Kaspi Bank,kaspi_ru.pdf
2024-11-13,"+ 2 000,00 KZT",2000.0,KZT,Replenishment,,Алибек А.,Kaspi Bank,kaspi_ru.pdf
2024-11-13,"+ 8 000,00 KZT",8000.0,KZT,Replenishment,,Бауыржан К.,Kaspi Bank,kaspi_ru.pdf
2024-11-13,"- 590,00 KZT",-590.0,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,kaspi_ru.pdf
2024-11-13,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,kaspi_ru.pdf
2024-11-13,"- 145,00 KZT",-145.0,KZT,Transfers,,Оплата Kaspi Кредита,Kaspi Bank,kaspi_ru.pdf
2024-11-13,"- 13 313,00 KZT",-13313.0,KZT,Transfers,,Оплата Kaspi Кредита,Kaspi Bank,kaspi_ru.pdf
2024-11-13,"+ 13 778,96 KZT",13778.96,KZT,Replenishment,,Алмас Б. - Сумма заблокирована. Банк ожидает подтверждения от платежной системы.,Kaspi Bank,kaspi_ru.pdf
2024-11-14,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,kaspi_ru.pdf
2024-11-14,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"+ 2 370,00 KZT",2370.0,KZT,Replenishment,,Андрей К.,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"+ 980,00 KZT",980.0,KZT,Replenishment,,Макбал Л.,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"+ 1 410,00 KZT",1410.0,KZT,Replenishment,,Ануарбек И.,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"+ 1 390,00 KZT",1390.0,KZT,Replenishment,,Ақниет Ə.,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"- 3 500,00 KZT",-3500.0,KZT,Purchases,АЗС-8,АЗС-8,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"- 3 000,00 KZT",-3000.0,KZT,Withdrawal,Банкомат Iliyasa Zhansugurova 8k1,Банкомат Iliyasa Zhansugurova 8k1,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"+ 6 500,00 KZT",6500.0,KZT,Replenishment,,Ерасыл С.,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"- 350,00 KZT",-350.0,KZT,Transfers,,Назерке Б.,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"+ 350,00 KZT",350.0,KZT,Replenishment,,Айдос Д.,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"- 2 000,00 KZT",-2000.0,KZT,Transfers,,Ернұр Қ.,Kaspi Bank,kaspi_ru.pdf
2024-11-15,"+ 2 000,00 KZT",2000.0,KZT,Replenishment,,Амангелді А.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"- 8 422,91 KZT",-8422.91,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"- 9 000,00 KZT",-9000.0,KZT,Transfers,,Сымбат З.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"+ 10 000,00 KZT",10000.0,KZT,Replenishment,,Сымбат З.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,Арай А.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"- 930,00 KZT",-930.0,KZT,Purchases,Burabay,Burabay,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"- 60,00 KZT",-60.0,KZT,Purchases,Бахтияр Магазин,Бахтияр Магазин,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"+ 1 496,00 KZT",1496.0,KZT,Replenishment,,Interpay*Taxi,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"- 560,00 KZT",-560.0,KZT,Purchases,Мирас О,Мирас О,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"+ 2 100,00 KZT",2100.0,KZT,Replenishment,,Салтанат К.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"+ 840,00 KZT",840.0,KZT,Replenishment,,Индира Ж.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"+ 900,00 KZT",900.0,KZT,Replenishment,,Yusufu A.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"+ 1 090,00 KZT",1090.0,KZT,Replenishment,,Кристина П.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"- 6 500,00 KZT",-6500.0,KZT,Transfers,,Ерасыл С.,Kaspi Bank,kaspi_ru.pdf
2024-11-16,"+ 1 990,00 KZT",1990.0,KZT,Replenishment,,Назым С.,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"- 4 200,00 KZT",-4200.0,KZT,Transfers,,Ерасыл С.,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"+ 500,00 KZT",500.0,KZT,Replenishment,,Əли С.,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"+ 1 953,00 KZT",1953.0,KZT,Replenishment,,Interpay*Taxi,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"+ 1 310,00 KZT",1310.0,KZT,Replenishment,,Нұрболат Ж.,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"- 2 000,00 KZT",-2000.0,KZT,Purchases,Z-313 г. Астана,Z-313 г. Астана,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"- 9 700,00 KZT",-9700.0,KZT,Transfers,,Назерке Б.,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"+ 7 966,00 KZT",7966.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"+ 4 200,00 KZT",4200.0,KZT,Replenishment,,Ерасыл С.,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"+ 110,00 KZT",110.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"- 350,00 KZT",-350.0,KZT,Transfers,,Назерке Б.,Kaspi Bank,kaspi_ru.pdf
2024-11-17,"+ 350,00 KZT",350.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru.pdf
2024-11-18,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,kaspi_ru.pdf
2024-11-18,"- 3 000,00 KZT",-3000.0,KZT,Transfers,,Рауан А.,Kaspi Bank,kaspi_ru.pdf
